Order_ID,Customer_Name,Product_Category,Price_per_Unit,Quantity,Order_Date,Discount_Code,Shipping_Cost,Total_Sales,Final_Amount
ORD-001 ,Budi Santoso,Electronics,1500000.0,2,2024-02-01,PROMO20,50000.0,3000000.0,3050000.0
ORD-002 ,Siti Aminah,Fashion,250000.0,1,2024-02-02,,0.0,250000.0,250000.0
ORD-003 ,Andi T.,Electronics,3500000.0,1,2024-02-03,,100000.0,3500000.0,3600000.0
ORD-004 ,Joko,Groceries,50000.0,5,2024-02-04,DISKON50,15000.0,250000.0,265000.0
ORD-005 ,Rina,Fashion,150000.0,2,2024-02-05,PROMO20,20000.0,300000.0,320000.0
ORD-006 ,Dewi P.,Electronics,4200000.0,1,2024-02-06,,0.0,4200000.0,4200000.0
ORD-007 ,Ahmad,Groceries,75000.0,10,2024-02-07,,25000.0,750000.0,775000.0
ORD-008 ,Budi Santoso,Fashion,250000.0,2,2024-02-08,PROMO20,15000.0,500000.0,515000.0
ORD-009 ,Citra,Electronics,2100000.0,1,2024-02-09,,0.0,2100000.0,2100000.0
ORD-010 ,Tono,Groceries,100000.0,5,2024-02-10,DISKON50,20000.0,500000.0,520000.0
ORD-011 ,Siti Aminah,Fashion,300000.0,3,2024-02-11,,25000.0,900000.0,925000.0
ORD-012 ,Bima,Electronics,5000000.0,2,2024-02-12,PROMO20,0.0,10000000.0,10000000.0
ORD-013 ,Rudi,Fashion,150000.0,2,2024-02-13,,15000.0,300000.0,315000.0
ORD-014 ,Andi T.,Electronics,1200000.0,1,2024-02-14,PROMO20,50000.0,1200000.0,1250000.0
ORD-015 ,Putri,Groceries,80000.0,4,2024-02-15,,0.0,320000.0,320000.0
ORD-016 ,Rina,Fashion,200000.0,2,2024-02-16,DISKON50,20000.0,400000.0,420000.0
ORD-017 ,Ahmad,Electronics,2500000.0,1,2024-02-17,,30000.0,2500000.0,2530000.0
ORD-018 ,Dewi P.,Fashion,350000.0,2,2024-02-18,PROMO20,0.0,700000.0,700000.0
